TRA05,SEXEP,SUTOT,CHAFF,TAXES
7,1,18,155810,0
6,1,17,72755,660
7,1,14,113872.32,0
10,1,18,311698,0
8,1,7,80631,0
9,1,15,603320,0
9,1,16,297151,0
7,1,22,133054,0
8,1,18,112667,0
9,1,12,113357,768
7,1,16,109450,200
8,1,11,42622.37,0
10,1,12,23979,1329
9,2,4,205570.26,0
5,2,17,538979.11,1135
9,1,22,202279,0
7,1,12,557801.61,4499.93
7,1,28,303252,0
9,1,15,86370,1925
10,1,9,850141.94,0
5,2,21,152618,0
8,2,13,180535,0
8,1,13,86297,0
7,1,8,83733,198
6,1,13,389050,0
9,1,15,50351,0
8,2,23,135353,0
5,1,16,67422,0
6,1,19,34619.38,231
9,2,20,53128.44,0
8,1,3,248558.04,0
7,2,18,219156,0
9,2,12,61348,0
4,1,16,15587,0
5,1,6,33180,0
7,1,10,40800,836
7,1,10,56728,128
12,1,29,15475,0
6,1,6,93422.32,0
10,2,5,51187.08,378
7,1,1,309356,0
9,2,13,190602,0
4,1,7,53013,0
9,1,21,51425,0
6,1,2,164435,0
7,1,12,73207,0
9,1,27,396199,0
7,1,10,182495,0
7,1,7,1375883,96
6,1,19,849912,0
5,1,16,187472,0
6,1,29,153693,0
6,1,16,70357,26
5,1,17,120430,0
6,1,19,102642,0
3,1,11,178500,0
5,1,9,38439,44
5,2,13,23079,0
10,1,9,342814,175
7,1,27,212168,0
8,1,13,290542,0
9,1,21,268742,0
11,1,26,203323,0
7,1,17,134973,0
9,1,18,86992,0
10,1,11,144854,0
7,1,21,133667,0
9,1,17,96698,288
8,1,11,75674,632
6,1,28,465912,1
6,1,12,29423.65,0
6,1,11,214912,0
5,1,21,116399,0
5,1,23,128351.97,0
8,1,22,96368,0
8,1,30,248710.44,0
8,1,28,73099.34,445.26
7,1,23,177038,865
9,1,13,236284.4,0
6,1,14,57286,0
6,1,17,70812,0
7,1,17,151474,0
9,1,17,233145,0
10,1,10,134163,33
5,2,1,935290,0
10,1,18,115991,1824
10,1,17,81780.79,716
12,2,14,50403.21,0
8,1,12,79754.84,2225
8,2,3,660216,0
7,1,3,359769.6,0
6,1,10,284294.61,1649.72
6,1,20,107825,1385
8,1,16,170595,0
8,1,20,171252,0
4,1,13,37253,1066
8,1,10,98723,529
7,1,21,361778,0
4,1,14,80139.77,0
7,1,18,114898.09,0
9,1,20,222468.42,0
9,2,5,191332,516
7,1,5,271573,0
9,1,5,503863,933
5,1,11,289310,1108
5,1,4,311594,492
6,1,18,166782,0
9,1,12,356474.31,0
7,1,20,151179,0
8,1,2,226362,0
7,1,25,96182.97,404
7,1,17,69116,81
8,1,20,69483,0
8,1,11,32179.3,2321
5,2,14,14838,792
7,2,4,345231,0
8,1,5,596492,3853
10,1,13,120479,0
3,1,9,40469,0
5,1,15,81241,0
8,1,1,183065,0
4,1,5,92946,0
10,1,12,63359,0
9,1,8,34607.9,13
6,1,17,135960.47,0
7,1,26,35895.45,598
3,1,6,145158,0
6,1,26,230991,0
7,1,22,463591,0
5,2,14,135711,0
6,1,16,130118.74,428
8,1,13,1747462,0
8,1,17,583806.27,7249
6,1,7,509133.93,0
10,1,13,194608,0
4,1,1,284967.84,0
9,1,14,107488,2155
6,1,15,220572.02,0
10,2,4,319181,0
6,1,3,305660,0
5,2,12,427423,548
7,1,12,74407.82,0
9,1,14,130760.39,0
10,1,19,59616,0
8,1,12,53962,0
7,1,12,79577,0
9,2,9,116286,362
5,1,19,105184,0
9,1,12,226052,0
8,1,11,196661,0
8,1,11,129670,0
9,1,1,139818.52,0
8,1,4,72614,600
8,1,8,24149.58,1032
6,1,16,161013.33,0
9,2,27,144657.05,0
9,1,15,128584,577
9,1,4,68352,0
8,1,17,67674.83,0
10,1,17,470955.21,0
7,1,26,339685,0
8,1,6,505659,0
4,1,14,1273834.21,0
5,1,4,160783,20
3,1,6,449272,0
5,1,13,642959.53,0
8,1,9,61944.1,1899
9,2,13,120559.75,0
7,1,2,199324.01,0
9,2,1,297968,0
3,2,6,12612,0
7,1,10,73717.12,78.8
7,1,18,45002,153
9,1,11,126352,538
5,2,13,141784.39,0
4,1,14,136932,9
5,1,12,259384,0
10,1,10,76304,0
5,1,13,120571,0
7,1,12,85967.84,606
8,1,16,157461.4,0
8,1,13,115825.11,712
8,2,1,24762,0
10,2,16,137402.17,371
9,0,6,726426.07,0
10,1,17,120593,0
6,1,26,209396,0
10,1,17,76696,0
7,1,18,305043,0
9,2,12,34699,1195
7,1,11,27587,0
2,1,7,12891,0
9,2,14,43911,0
8,1,17,74134,0
6,1,12,99198.93,0
9,1,22,234983.67,0
6,1,12,44404.36,311
7,1,11,68586,0
8,1,15,220633,261
9,1,7,510698,0
6,1,14,87108,876
10,1,19,79001.23,0
10,1,8,686021.46,0
3,1,26,258009,0
8,1,9,177292,0
8,1,15,133556,0
8,1,26,59073,0
6,1,25,228394,0
5,1,13,206906,0
7,1,30,245767.43,0
6,1,18,375466,0
6,1,28,218965.4,0
8,1,30,180733,0
7,1,20,163272,0
7,1,14,175964.6,0
8,1,11,873248.45,0
10,1,3,280043.49,0
8,1,5,229202.33,0
6,1,6,343883,0
9,1,21,146843,0
6,1,14,254326,398
8,1,11,427046,76
4,1,9,38735.92,126
7,1,20,115554.93,0
6,1,20,232601.69,0
7,1,1,322173,63
4,2,21,148037,0
3,1,11,18794,0
9,1,26,222536,0
11,2,11,225277.45,0
7,1,10,169078,284
6,1,26,200806.82,0
5,1,19,127463,0
7,1,25,204060.7,0
12,1,15,83812,45
8,1,10,139310,0
6,1,15,144466,0
10,1,11,98549.51,0
7,1,13,143632,607
3,1,30,323706,0
10,1,27,188068,0
8,1,22,158927,0
10,1,22,355331,0
8,2,13,59442,1640
6,2,23,117618.61,0
7,1,7,325828,919
9,1,9,435623,336
9,2,6,233565,633
6,1,9,345009,973
9,1,11,342153,0
7,2,1,374136,0
6,1,10,84954,0
5,1,18,101422,253
8,2,17,85622,0
10,1,11,31975,565
11,1,26,424584,1150
12,1,15,72982,0
7,1,19,222084,926
9,2,28,252318,0
7,1,18,221335,0
5,1,12,177821,0
9,1,21,55237.72,0
7,1,19,93401,0
2,2,13,234611,0
6,1,11,328034,0
9,1,13,72166,0
9,1,12,132280,3869
13,2,4,51256.91,536
9,1,28,452355.88,0
7,2,26,16298.1,596
8,2,28,123071.48,0
7,1,30,93702.25,0
10,1,30,1325201.22,0
7,1,17,100006.14,1510
8,1,10,374589.75,0
10,2,12,134548,577
8,1,27,336062,0
8,1,11,56222,92
9,1,13,95697.15,526
9,1,9,162718,0
6,1,8,113087,134
5,1,16,103775,746
4,1,19,282160.57,0
6,1,4,117073,1234
3,1,18,310321,0
7,1,18,158926,4256
9,2,8,104636,0
9,1,7,52395,55
9,1,8,59931,113
10,2,13,101971,194
8,2,16,58134,0
7,1,17,103471,0
10,1,15,70988,2164
7,2,13,184334.14,0
7,1,9,42914,308
8,1,15,62312,531
9,1,10,40269,0
8,1,7,239851.83,0
8,1,4,163729.25,0
9,1,26,66280,0
5,1,11,763226,0
6,2,16,455517,0
9,1,8,29400,592
7,1,14,92977.74,0
6,1,16,126775.79,0
10,2,17,149485.03,0
7,1,11,66610.71,0
6,1,18,256843,0
5,1,1,248993,0
8,1,11,135120,0
6,1,8,135650,0
8,1,7,92730,0
9,1,14,171897,2397
7,2,13,597200,0
9,1,9,208148,3355
8,1,7,221798,416
4,1,12,364400,23
2,1,3,72238.93,0
10,1,6,442288.3,0
4,1,26,86694.7,0
5,1,1,59385,0
9,2,7,160196.25,0
7,1,7,284682.04,16
10,2,11,42327.47,0
5,1,12,142352.14,80
9,2,20,404906,698
9,1,15,212257,428
9,2,17,196792.28,0
6,1,23,245521.68,0
9,1,11,54880,93
10,2,16,185647,0
7,1,16,104399.41,0
8,1,9,57876,193
12,2,8,49993,0
10,1,2,373592,0
7,1,20,103466,721
9,1,17,105557,2025
6,1,16,64966,0
7,1,13,1994094.22,0
8,1,18,801658.87,356
11,2,7,256057.42,0
6,1,26,168328,6627
8,1,13,134750.8,0
8,1,22,394963,229
8,1,1,130508,344
9,1,5,41768,1399
9,1,26,269519.89,0
9,2,11,289197.66,0
8,1,18,501809,0
6,1,23,984746,0
7,1,16,142164,4478
10,1,27,293935,0
9,1,11,143556.49,0
10,2,10,53771,0
8,1,19,106310,0
9,1,11,42365,0
8,1,13,110349,0
8,1,18,252744.54,0
9,2,22,160988,0
8,1,9,103692,0
8,1,6,172150.15,0
10,1,11,115085.2,0
9,1,16,394110.41,0
5,1,3,191271,1220
4,2,8,477059.88,0
6,1,20,271452,0
10,1,9,458713,0
5,1,17,480670,0
8,1,1,158301,0
8,2,6,75021,169
3,1,14,64636,0
2,1,10,42564,0
6,1,9,196503,0
4,1,8,82651,0
4,1,15,114861,0
6,1,10,309721,0
6,1,9,91641,254
6,1,11,101557,272
5,1,11,57196,46
9,1,18,68825,0
8,1,9,49496,28
8,1,11,44035,1899
9,1,11,40442,112
10,1,11,26246,0
11,1,3,849331,751
10,1,8,55936,1172
9,1,11,141418,908
7,1,24,276305,0
11,1,9,30105,576
9,1,3,237043,928
6,1,29,519267.65,0
7,1,24,493970.94,0
9,1,3,703582.62,0
10,1,5,53227,522
7,1,29,427204,0
8,1,12,176765,0
10,1,12,73599.91,32.94
9,1,28,467253.19,19
9,1,27,710273.71,576
10,1,13,122075,0
10,1,14,130506.9,0
5,1,16,431030.83,77
3,1,17,368863,460
9,1,14,269392,0
9,1,2,51639,1126
7,1,11,24226.53,0
9,1,7,60240,1555
4,1,14,201958,590
9,1,13,119584.08,0
9,1,12,31270,1503
12,1,13,22460,900
10,2,6,33507,1175
4,1,2,498662.84,412
8,1,20,290377,1656
11,1,11,28973,1237
10,1,13,35403,830
8,1,23,649099.75,0
9,1,29,411281.69,4
10,1,24,203297.32,0
9,1,4,73790.32,1331
10,1,7,4671.38,1333
9,1,14,100579,1541
9,1,9,48437,999
12,2,14,103043.34,1612
12,1,13,80932.29,1048
6,1,6,125480,0
9,1,13,136351,0
10,1,27,355265.35,3322
7,1,13,648414,0
7,1,18,475314.9,301
5,1,16,87448.05,277
10,1,16,78403.33,249
9,1,19,131575.58,32
11,1,19,179061.17,0
9,1,26,286663,0
7,1,12,308452,0
10,1,30,207166.13,0
8,1,5,56802.76,96
9,2,11,152335,1630
10,2,10,128786,63
6,1,10,106386.9,0
4,1,19,537902.68,152
8,2,19,39637,0
9,1,20,107321,25
10,2,3,634331,0
8,1,15,103098.81,81
12,1,9,51174,1274
10,1,11,62059,97
9,1,16,85050.03,1087
9,1,28,513966,345
9,1,26,242439,41
8,1,26,465038,3950
9,1,22,234527,0
6,1,8,173894,0
5,1,26,380727,0
10,2,16,146876,0
11,2,23,559429,0
5,1,17,178930,0
5,1,14,351672.41,0
10,1,23,607767.87,0
12,1,19,163245.16,0
10,1,27,291657.4,0
9,1,12,1088430,0
14,1,4,200489,5155
10,1,1,80147,478
10,1,20,178529,185
9,1,2,81276.05,0
10,1,3,411178.57,0
8,1,26,172527,0
8,1,10,238009,356
7,1,22,225208.21,0
7,1,23,210227,0
9,1,6,54938,35
8,1,6,117394,337
10,1,13,103165,0
9,1,11,254220.01,628
10,1,12,62793.02,838
11,1,27,599794,33
9,1,13,163498,1325
6,1,19,241232.09,20
9,1,27,1533875.11,66
11,1,11,83190,1541
5,1,25,325936.66,0
8,2,9,78945.28,469
